,original,paraphrase,our_paraphrase
484,"Kot je znano, je prejšnji četrtek zapadel v plačilo julijski račun HEP v višini 503 milijone tolarjev.","Kot je znano, je julijski račun HEP v višini 503 milijone SIT zapadel v plačilo prejšnji četrtek.","Kot je znano, je prejšnji četrtek v plačilo za HEP vložil tudi julijski račun HEP"
485,"Ker je znano, da hrvaška stran ne priznava in tudi ne plačuje stroškov dekomisije, se je z zadnjim plačilom v višini približno 124 milijonov tolarjev zmanjšal samo njen dolg za električno energijo.","Ker je znano, da hrvaška stran ne priznava in plačuje stroškov razgradnje, je zadnje plačilo v višini približno 124 milijonov SIT zmanjšalo le dolg za elektriko.","Ker je znano, da hrvaška stran ne priznava in ne plačuje stroškov dekomisije, se je"
486,"Za dekomisijo HEP ob upoštevanju zadnjega računa z dne 20. avgusta dolguje za letošnje stroške razgradnje 701 milijon tolarjev, skupni letošnji dolg za električno energijo in stroške dekomisije pa se je s prejšnjih približno 3,3 milijarde tolarjev zmanjšal na nekaj manj kot 3,2 milijarde tolarjev.","Za razgradnjo, ob upoštevanju zadnjega računa z dne 20. avgusta, HEP dolguje 701 milijonov tolarjev za letošnje stroške razgradnje, medtem ko se je letošnji skupni dolg za električno energijo in za stroške razgradnje zmanjšal s prejšnjih približno 3,3 milijarde tolarjev na skoraj 3,2 SIT.","Za dekomisijo HEP ob upoštevanju zadnjega računa z dne 20. avgusta, je HEP dolžan"
487,"Ministri Boris Frlec in Metod Dragonja na eni strani ter Mate Granić in Nenad Porges na drugi strani naj bi obravnavali večino neurejenih vprašanj med državama, med drugim zaplete z Jedrsko elektrarno Krško (JEK), problematiko štirih zaselkov ob Dragonji, Piranskega zaliva in dolgov Ljubljanske banke.","Ministra Boris Frlec in Metod Dragonja na eni strani ter Mate Granić in Nenad Porges na drugi naj bi se pogovarjala o večini neurejenih vprašanj med državama, med drugim o zapletih z Nuklearno elektrarno Krško (JEK), vprašanjih štirih zaselkov ob Dragonji in Piranskem zalivu ter o dolgovih Ljubljanske elektrarne.",Ministri Boris Frlec in Metod Dragonja na eni strani in Mate Granić in
488,"V zvezi z JEK naj bi hrvaška stran zastavila vprašanje o slovenski vladni uredbi, s katero se je JEK preoblikovala v javno podjetje, s čimer naj bi po mnenju vladnih predstavnikov do sprejetja ustrezne meddržavne pogodbe premostili obdobje statusne neopredeljenosti položaja JEK.","V zvezi z JEK je hrvaška stran domnevno postavila vprašanje o uredbi slovenske vlade, s katero se je JEK preoblikoval v javno podjetje, ki je po mnenju vladnih predstavnikov premostilo obdobje nevtralnosti statusa JEK do sprejetja ustrezne meddržavne pogodbe, ki je bila sprejeta v skladu s postopkom JEK.","V zvezi z JEK naj bi hrvaška stran postavila vprašanje o slovenski vladni uredbi, s katero"
489,"Hrvaški vlada pa meni, da je uredba sporna, saj naj bi Slovenija z uredbo presegla pravice, ki jih ima kot naslednica slovenskega ustanovitelja.","Vendar pa hrvaška vlada meni, da je uredba problematična, saj naj bi uredba presegala pravice Slovenije kot naslednice slovenskega ustanovitelja.","Hrvaška vlada meni, da je uredba sporna, saj naj bi Slovenija z uredbo presegla pravice, ki"
490,"(sta, vv)","(Oni so, vv)","(sta, vv)"
491,"V Krško naj bi dobili 686 ton novega vrhunskega jekla, ki ga je država (ali morda JEK sama) naročila, brez predhodnega večinskega soglasja občanov občine Krško, prebivalcev Posavja in solastnika objekta.","V Krškem naj bi pridobili 686 ton novega vrhunskega jekla, ki ga je država (ali morda JEK sam) naročila, brez vnaprejšnjega večinskega soglasja občanov občine Krško, prebivalcev Posavja in solastnika","V Krško naj bi dobili 686 ton novega vrhunskega jekla, ki ga je država (ali"
492,"JEK je objekt višje tehhnologije v naši državi, hkrati pa tudi objekt, ki lahko za vedno ogrozi življenje ljudi na prostoru Slovenije.","JEK je pri nas objekt višje tehnologije, hkrati pa tudi objekt, ki lahko za vedno ogrozi življenja ljudi na območju Slovenije.","JEK je objekt višje tehnologije v naši državi, hkrati pa je tudi objekt, ki lahko z"
493,"Ali snovalci prenove JEK mislijo, da lahko s še živimi ljudmi počnejo, kar se jim zazdi?","Ali snovalci JEK-ove prenove mislijo, da lahko s še živimi ljudmi počnejo, kar hočejo?","Ali snovalci prenove JEK mislijo, da lahko s še živimi ljudmi počnejo, kar jim"
494,"Ker je davkoplačevalcev, Slovencev, ki bodo vplačali za Posočje, več kot milijon, bodo banke ""pokasirale"" preko 50 milijonov tolarjev.","Ker je več kot milijon davkoplačevalcev, Slovencev, ki bodo plačevali za reko Sočo, bodo banke ""zbrale"" dobrih 50 milijonov tolarjev.","Ker je davkoplačevalcev, Slovencev, ki bodo vplačali za Posočje več kot milijon, bo"
495,"In vlada oziroma davčna uprava je na TV izjavila, da bo njihov strošek za pobiranje denarja za Primorce preko 350 milijonov tolarjev!","Vlada oziroma davčna uprava pa je na televiziji izjavila, da bodo njihovi stroški za zbiranje denarja za Primorce presegali 350 milijonov!!","In vlada oziroma davčna uprava je na TV izjavila, da bo njihov strošek za pobiranje denarj"
496,"LJUBLJANA, 25. - Položnice s popotresnim davkom so doslej poslali že nekaj več kot 771 tisoč davčnim zavezancem.","LJUBLJANA, 25. - Poštne položnice so doslej poslali nekaj več kot 771 tisoč zavezancem.","LJUBLJANA, 25. - Položnice s popotresnim davkom so doslej poslali nekaj več kot 7"
497,"Skupaj naj bi ti vplačali 3,487 milijarde tolarjev.","Skupaj naj bi plačali 3,487 milijarde tolarjev.","Skupaj naj bi vplačali 3,487 milijarde tolarjev."
498,"Do konca prejšnjega tedna jih je obveznost poravnalo 45.796 in nakazalo 174,5 milijona tolarjev.","Do konca prejšnjega tedna je svoje obveznosti poravnalo 45.796 tolarjev in preneslo 174,5 milijona tolarjev.","Do konca prejšnjega tedna jih je bilo 45796 in nakazalo 174,5 milijona tolarjev."
499,"Gospa Wilf je nadaljevala: ""Če bi bilo tako, kot si je izmislil, potem bi moral biti Ben tukaj.","Gospa Wilf je nadaljevala: ""če je bilo tisto, kar je izumil, potem bi Ben tukaj.","Gospa Wilf je nadaljevala: ""Če bi bilo tako, kot si je izmislil, potem"
500,Ali ga kdo vidi?,Ali ga kdo vidi?,Ali ga kdo vidi?
501,"Nikjer ga ni, ker je v mestu.","nikjer ga ni, ker je v mestu.","Nikjer ga ni, ker je v mestu."
502,"Torej končajte vse skupaj, gospod inšpektor!""","Zato dokončajte delo, gospod inšpektor. ""","Torej končajte vse skupaj, gospod inšpektor!"""
503,Tudi ostali so se vrnili v sobo.,Tudi drugi so se vrnili v sobo.,Vsi so se vrnili v sobo.
504,"Gospa Wilf je vpila in se upirala, ko so jo policisti - tako kot Bena - odpeljali.","Gospa Wilf je kričala in se upirala, ko jo je policija - kot Ben - odpeljala.","Gospa Wilf je vpila in se upirala, ko so jo policisti - tako kot Be"
505,Ben je bil popolnoma potrt.,Ben je bil tako depresiven.,Ben je bil popolnoma potrt.
506,"LJUBLJANA, 25. - Danes ob 17. uri bo v novogoriškem športnem parku tekma petega kroga skupine B v evropski ligi za odbojkarje, v kateri bo Slovenija gostila Dansko.","LJUBLJANA, 25. - Danes bo ob 17. uri v Novi Gorici potekal peti krog skupine B v evropski odbojkarski ligi, kjer bo Slovenija gostila Dansko.","LJUBLJANA, 25. - Danes ob 17. uri bo v novogoriškem športnem parku tekma petega kroga skupine B"
507,Slovenci so v zadnjih treh tekmah prav tolikokrat zmagali in bi z novim uspehom naredili zadnji korak h končni uvrstitvi med prve tri in s tem napredovanje v elitno evropsko skupino.,Slovenci smo na zadnjih treh tekmah tolikokrat zmagali in bi z novim uspehom naredili še zadnji korak k končni uvrstitvi med prve tri in s tem napredovanju v elitno evropsko skupino.,Slovenci so v zadnjih treh tekmah dvakrat zmagali in bi z novim uspehom naredili zadnji korak k končni uvrsti
508,"Naši so Dance v gosteh že premagali s 3:0, toda Skandinavci so si že opomogli in v soboto v Tuzli nadigrali Bosance z istim izidom.","Naši gostje so že premagali Dance 3: 0, a so si Skandinavci že opomogli in z enakim izidom v soboto v Tuzli premagali Bosance.","Naši so Dance v gosteh premagali s 3:0, toda Skandinavci so že opomogli"
509,Današnja tekma bo tako za obe reprezentanci glede napredovanja ključnega pomena.,Današnja tekma bo ključna za obe ekipi v smislu napredovanja.,Današnja tekma bo tako ključnega pomena za obe reprezentanci.
510,"Pred tekmo je selektor Gregor Hribar optimist: ""Dance smo sicer že premagali, vendar to še ne pomeni, da nam bo danes lahkó.","Selektor Gregor Hribar je bil pred tekmo optimist: ""Ples smo že premagali, a to še ne pomeni, da bomo to lahko storili tudi danes.","Pred tekmo je selektor Gregor Hribar optimist: ""Dance smo že premagali, vendar to"
511,'Vikingi' se nam bodo prav gotovo hoteli oddolžiti za poraz.,Vikingi se bodo zagotovo poskušali odkupiti za naš poraz.,"""Vikingi"" se bodo zagotovo želeli maščevati za poraz."
512,Njihovo igro smo dodobra preučili.,Pozorno sva preučevala njihovo igro.,Njihove igre smo temeljito preučili.
513,"Če bomo v napadu zaigrali bolje, v ostalih prvina pa obdržali dosedanji nivo, lahko pričakujemo zmago.","Če bomo igrali bolje v napadu in ohranili raven drugih elementov, lahko pričakujemo zmago.","Če bomo v napadu igrali bolje, v ostalih prvinah pa ohranili dosedanji nivo, lahko pričakujemo zmago"
514,"Seveda si želimo čimvečjo podporo občinstva.""","Seveda si želimo čim večje podpore občinstva. ""","Seveda si želimo čimveč podpore občinstva. """
515,"LJUBLJANA, 25. - Kolesarsko društvo Koper in turistično društvo Truške bosta v soboto, 29. avgusta organizirala kolesarsko dirko ""Truške 98'"".","LJUBLJANA, 25. - Kolesarsko društvo Koper in Turistično društvo Truške bosta v soboto, 29. avgusta, pripravila kolesarsko dirko ""Truške 98"".","LJUBLJANA, 25. - Kolesarsko društvo Koper in turistično društvo Truške bosta v soboto, 29. avgust"
516,"Start dirke bo ob 15 uri in 30 minut v Truškah, tekmovalci v večih kategorijah pa se bodo pomerili na 19,2 kilometra dolgi progi.","Dirka se bo začela ob 15 urah in 30 minutah na Truški, tekmovalci v več kategorijah pa se bodo pomerili na 19,2 km dolgi progi.","Start dirke bo ob 15 uri in 30 minutah v Truškah, tekmovalci v več kategorijah"
517,"Startnina za udeležbo na dirki znaša 1.500 SIT, na dan pripreditve pa 2.000 SIT.","Štartnina za udeležbo na tekmi znaša 1.500 SIT, štartnina na dan prehoda pa 2.000 SIT.","Startnina za udeležbo na dirki znaša 1.500 SIT, na dan pripreditve pa 2.000 SIT."
518,"Vsi tekmovalci bodo prejeli tudi praktične nagrade, prvi trije uvrščeni v vsaki kategoriji pa še pokale.","Vsi tekmovalci bodo prejeli tudi praktične nagrade, medtem ko bodo prvi trije uvrščeni v vsaki kategoriji prejeli pokale.","Vsi tekmovalci bodo prejeli tudi praktične nagrade, prvi trije uvrščeni v vsaki kategoriji pa so prejeli pok"
519,Toda v Budimpešti je znala pozabiti na minule grenke trenutke.,Toda v Budimpešti je lahko pozabila pretekle grenke trenutke.,Toda v Budimpešti je znala pozabiti na minule grenke trenutke.
520,"""Bojim se in imam mehke noge,"" je zaupala trenerju Juriju Kastelicu preden je odšla na start.","""prestrašena sem in mehke noge imam,"" je pred odhodom v start zaupala trenerju Juriju Kastelicu.","""Bojim se in imam mehke noge,"" je zaupala trenerju Juriju Kastelicu preden"
521,Kljub strahu pred nastopom pa je odmislila možnosti na neuspeh in se odločno lotila zadnjega dejanja.,Kljub strahu pred nastopanjem se ni zmenila za možnost neuspeha in je odločno ukrepala ob zadnjem dejanju.,Kljub strahu pred nastopom je odmislila možnosti za neuspeh in se odločno lotila zadnjega dejanja.
522,"V predteku je s tekmicami na stezi na hitro ""pometla"" in si že pred drugouvrščeno Francozinjo Fergovo pritekla debele štiri desetinke sekunde prednosti.","V predtekmovanju je na stezi hitro ""pometala"" svoje tekmece in v gosteh tekla štiri desetinke sekunde pred Fergovo drugouvrščeno Francozinjo.","V predteku je s tekmicami na stezi hitro ""pometla"" in si pre"
523,"V komajda uri premora do finala je znova napolnila ""akumulatorje"" in se brezkompromisno lotila še Svetle Dimitrove.","V komaj uri odmora do finala je spet napolnila ""baterije"" in se brezkompromisno podala na Svetlo Dimitrovo.","V komajda uri premora do finala je znova napolnila ""akumulatorje"" in"
524,"""Tekla sem na vso moč in se trudila, da bi premagala tudi Bolgarko.","""Tekel sem z vso močjo in skušal premagati Bolgarko.","""Tekla sem na vso moč in se trudila, da bi premagala Bolgarko."
525,"A tokrat je bila premočna, kar pa mojega veselja ob kolajni ne zmanšuje.","Toda tokrat je bila premočna, kar pa ne zmanjšuje mojega veselja ob medalji.","Tokrat je bila premočna, kar pa mojega veselja ob kolajni ne zmanjšuje."
526,"Zelo sem zadovoljna tudi s srebrno kolajno, ki mi izjemno veliko pomeni,"" je povedala Brigita, ki je v finalu z 12,65 dosegla svoj drugi izid v karieri.","Zelo sem zadovoljna tudi s srebrno medaljo, kar mi veliko pomeni, ""je povedala Brigita, ki je svoj drugi rezultat v karieri v finalu dosegla z 12,65.","Zelo sem zadovoljen tudi s srebrno medaljo, ki mi veliko pomeni, ""je povedala Brigita,"
527,"BUDIMPEŠTA, 25. - Najboljšo slovensko uvrstitev na včeraj končanem 17. evropskem prvenstvu v atletiki v Budimpešti je z drugim mestom in srebrno kolajno dosegla Brigita Bukovec.","BUDIMPEŠTA, 25. - Najboljšo slovensko uvrstitev na 17. evropskem atletskem prvenstvu v Budimpešti je z drugim mestom in srebrno kolajno dosegla Brigita Bukovec.","BUDIMPEŠTA, 25. - Najboljšo slovensko uvrstitev na včerajšnjem 17. evropskem prvenstvu"
528,V primorskem derbiju v Kopru so odločile večje izkušnje Gorice.,V primorskem derbiju v Kopru so se goriške izkušnje odločile.,V primorskem derbiju v Kopru so bile odločilne večje izkušnje Gorice.
529,"""Kockarji"" so na koncu, podobno kot v Celju, skoraj zapravili vodstvo.","na koncu so, podobno kot v Celju, hazarderji skoraj zapravili vodstvo.","""Kockarji"" so na koncu, podobno kot v Celju, skoraj zapravili vodstvo."
530,Očitno ima Gorica težave v končnicah tekem.,"Videti je, da ima ekipa težave v finalu.",Očitno ima Gorica težave v končnicah tekem.
531,"Koper je v treh tekmah doma osvojil le točko, vendar je na vseh prikazal dobro igro in si priigral priložnosti, kar dokazuje, da ima kakovost, ki jo bo moral uveljaviti z neposrednimi tekmeci v boju za obstanek.","Koper je na treh tekmah doma osvojil le točko, na vseh pa je pokazal dobro igro in si priigral priložnosti, kar dokazuje, da ima lastnost, ki jo bo moral v boju za obstanek uveljavljati pri svojih neposrednih tekmecih.","Koper je v treh tekmah doma osvojil le točko, vendar je na vseh pokazal dobro igro in si"
532,"Od naših predstavnikov je bil najboljši Mišel Zupančič, vodilni v seštevku za DP","Najboljši med našimi predstavniki je bil Mišel Zupančič, vodilni v skupnem seštevku za DP","Od naših predstavnikov je bil najboljši Mišel Zupančič, vodilni v seštevku DP"
533,"NEW HAVEN, 25. - Slovak Karol Kučera je zmagovalec teniškega turnirja v New Havnu.","NEW HAVEN, 25. - Slovak Karol Kučera je zmagovalec teniškega turnirja v New Havenu.","NEW HAVEN, 25. - Slovak Karol Kučera je zmagovalec teniškeg"
534,"Kučera je v finalu s 6:4, 5:7, 6:2 premagal Hrvata Gorana Ivaniševića.","Kučera je v finalu premagal Hrvata Gorana Ivaniševića s 6: 4, 5: 7, 6: 2.","Kučera je v finalu s 6: 6:2, 6:2 premagal Hrvata Gorana Ivani"
535,"Slednji se je po dvoboju tolažil z naslednjimi besedami: ""Bil sem utrujen, moj backhand udarec pa mi nikakor ni šel od rok.","Po pretepu se je slednji potolažil z naslednjimi besedami: ""Bil sem utrujen, toda udarec z backhand-om nikakor ni bil moja roka.","Po dvoboju je bil po dvoboju tolažen z naslednjimi besedami: ""Bil sem utrujen,"
536,"Za nameček so svoje prispevali še linijski sodniki, ki so me večkrat oškodovali.""","Poleg tega so prispevali sodniki, ki so me večkrat oškodovali. ""","Poleg tega so svoje prispevali tudi linijski sodniki, ki so me večkrat oškodovali. """
537,"MONTREAL, 25. - Američanka Monika Seleš je svoj bančni račun odebelila za 150.000 ameriških dolarjev.","MONTREAL, 25. - Američanka Monika Seleš je svoj bančni račun odebelila za 150.000 dolarjev.","MONTREAL, 25. - Američanka Monika Seleš je svoj bančni račun ode"
538,"Toliko je namreč prejela, potem ko je v finalu turnirja v Montrealu po 76 minutah s 6:3, 6:2 ugnala Španko Arantxo Sanchez-Vicario.","Toliko je prejela po tem, ko je v finalu turnirja v Montrealu po 76. minuti ugnala Španko Arantxo Sanchez-Vicario s 6: 3, 6: 2.","Toliko je prejela, ko je v finalu turnirja v Montrealu po 76 minutah s 6: 6:"
539,"""V Kanadi sem vselej dobro igrala.","""V Kanadi sem vedno igral dobro.","""V Kanadi sem vedno dobro igral."
540,"Dobro sem spočita, kar se je najlepše odrazilo na igrišču, saj mi je uspevalo vse,"" je bila vesela Seleševa.","jaz sem dobro spočiti, kar se je najbolje odražalo na igrišču, ker mi je uspelo vse, ""Seleševa je bila srečna.","Dobro sem spočita, kar se je najlepše odražalo na igrišču, saj mi je uspelo vse"
541,"To je prvi tunir, ki ga je Seleševa osvojila letos in zanjo dober obet pred prihajajočim odprtim prvenstvom ZDA.","To je prvi tun, ki ga je Seleševa osvojila letos in dober obet zanjo pred prihajajočim odprtim prvenstvom ZDA.","To je prvi tunir, ki ga je Seleševa osvojila letos in zanjo dober"
542,"UMAG, 25. - Slovenski teniški igralec Blaž Trupej je izgubil finalni dvoboj teniškega turnirja futures (10.000 ameriških dolarjev) v Umagu.","UMAG, 25. - Slovenski teniški igralec Blaž Trupej je v Umagu izgubil finalno tekmo teniškega turnirja futures (10.000 dolarjev).","UMAG, 25. - Slovenski teniški igralec Blaž Trupej je izgubil finalni dvoboj teniškeg"
543,"Boljši od njega je bil po dveh urah igre s 6:1, 3:6, 6:4 domačin Lovro Zovko.","Od njega je bil boljši po dveh urah igre s 6: 1, 3: 6, 6: 4 domačinom Lovrom Zovkom.","Po dveh urah igre je bil boljši od njega po dveh urah igre s 6:1, 3:6, 6:"
544,"Če odmislimo spodbuden nastop Rovana, še vedno solidne Bikarjeve in neizkušenega Acmana, ostane veliko preveč takšnih, ki so sporni.","Če pustimo ob strani spodbuden videz Rovan, še vedno trden Bikar in neizkušeni Acman, obstaja veliko preveč, da so sporni.","Če odmislimo spodbuden nastop Rovana, še vedno solidne Bikarjeve in ne"
545,"Izraz je pravzaprav premil, kajti mirne duše se lahko zapiše, da je v Budimpešto prišla cela vrsta takšnih, ki na evropskem prvenstvu nimajo kaj iskati.","Izraz je pravzaprav preveč blag, saj bi lahko zapisali, da je v Budimpešto prišlo kar nekaj tistih, ki nimajo mesta na evropskem prvenstvu.","Izraz je pravzaprav premil, saj mirne duše lahko zapišemo, da je v Budimpešto prišl"
546,"Če gre za tek na kratke proge, da.","Če gre za kratek rok, da.","Če gre za tek na kratke proge, da."
547,"V tem primeru bo treba še naprej ujčkati tiste, ki so najboljši na vasi in so s tem več kot zadovoljni, ter se slepiti, da za napredovanje potrebujejo tudi tako elitno prvenstvo, kot je evropsko, češ, kje se bodo kalili za svetovno in olimpijske igre.","V tem primeru, bo treba še naprej objemati tiste, ki so najboljši v vasi in so več kot zadovoljni z njim, in se zavajati, da je za napredovanje potrebujejo tako elitno prvenstvo, kot je evropsko, kjer bodo trenirali za svetovne igre in olimpijske igre.","V tem primeru bo treba še naprej ujčkati tiste, ki so najboljši na vasi in"
548,"Če pa želimo našo atletsko piramido zgraditi pravilno, da ne bo tako zelo debela na dnu in vitka na vrhu, potem bo o teh ""debelih"" potrebno vsaj spregovoriti.","Toda če želimo svojo atletsko piramido pravilno zgraditi, tako da na dnu ne bo tako debela, na vrhu pa vitka, potem se moramo vsaj pogovarjati o teh, debelih "".","Če želimo našo atletsko piramido zgraditi pravilno, da ne bo tako debela na dnu in"
549,"O vsakem posebej, ne pa jim z ocenami o skupnem uspehu dajati potuho in jih s tem posredno celo nagrajevati.","O vsakem, ne da bi jim nizek profil in jih celo nagraditi posredno z ocenami skupnega uspeha.","O vsakem posebej, ne pa jim dajati potuho in jih s tem posredno nagraditi."
550,"Ne samo zaradi tistih, ki si slavo in priznanje res zaslužijo, tudi zaradi atletike in pokroviteljev.","Ne samo zaradi tistih, ki si res zaslužijo slavo in priznanje, ampak tudi zaradi atletike in pokroviteljev.","Ne samo zaradi tistih, ki si zaslužijo slavo in priznanje, ampak tudi zaradi atletike in pokrovi"
551,"Morda pa se v njih le skriva kaj več od tistega, kar so pokazali v Budimpešti.","Morda je v njih več, kot so pokazali v Budimpešti.","Morda pa se v njih skriva kaj več od tistega, kar so pokazali v Budimpešti."
552,"RADENCI, 25. - Potapljačem in gasilcem iz Gornje Radgone, Radencev in Murska Sobote ter posebni potapljaški enoti ministrstva za notranje zadeve je šele včeraj, po skoraj celodnevnem iskanju, ob 18.05, uspelo najti utopljenega ribiča, ki je v nedeljo okoli 2. ure zjutraj utonil v gramozni jami pri ribiškem domu v Hrastju Mota pri Radencih.","RADENCI, 25. - Potapljačem in gasilcem iz Gornje Radgone, Radencev in Murske Sobote ter posebne enote za potapljanje Ministrstva za notranje zadeve je šele včeraj, po skoraj celodnevnem iskanju, ob 18.05, uspelo najti utopljenega ribiča, ki se je v nedeljo okoli 2. ure zjutraj utopil v gramoznici pri ribiški hiši v Hrastju Moti pri","RADENCI, 25. - Potapljačem in gasilcem iz Gornje Radgone,"
553,"Mesec dni pred olimpionikovo stoletnico (12. novembra) bodo predstavniki rotarijcev z vsega sveta v mariborskem v parku, po katerem se Leon Štukelj vsak dan sprehaja, zasadili sto različnih dreves, ki jih bodo podarila rotarijska društva z vsega sveta.","Mesec dni pred olimpijsko stoletnico (12. november) bodo predstavniki rotarijcev z vsega sveta v mariborskem parku, kjer se vsak dan sprehaja Leon Štukelj, posadili sto različnih dreves, ki so jih donirala Rotary društva z vsega sveta.",Mesec dni pred olimpionikovo stoletnico (12. novembra) bodo predstavniki rotarijcev z vseg
554,"Vsako drevo bodo označili z latinskim imenom vrste ter podatkoma, katero društvo ga je zasadilo in iz katerega dela sveta je.","Vsako drevo bo označeno z latinskim imenom vrste, ki označuje, katera družba ga je posadila in iz katerega dela sveta je prišlo.","Vsako drevo bo označeno z latinskim imenom vrste in podatkom, katerega društvo ga je zasadilo"
555,Prvih sedem mesecev letošnjega leta je bilo po vsem svetu najtoplejših vse od začetka rednih vremenskih zapisov pred več kot sto leti.,"Prvih sedem mesecev letošnjega leta je bilo najtoplejših po vsem svetu, odkar se je pred več kot sto leti začelo redno spremljanje vremena.",Prvih sedem mesecev letošnjega leta je bilo po vsem svetu najtoplejših od začetka rednih vremenskih
556,Enako velja od leta 1990 dalje.,Tako je že od leta 1990.,Enako velja od leta 1990 dalje.
557,"Britanski klimatologi so prejšnji teden objavili raziskave o zgodovini evropskega podnebja, ki kažejo, da že tisoč let ni bilo tako vročega stoletja, kot je naše.","Prejšnji teden so britanski klimatologi objavili raziskavo o zgodovini evropskega podnebja, ki kaže, da že tisoč let ni bilo tako vročega stoletja, kot je naše.","Britanski klimatologi so prejšnji teden objavili raziskave o zgodovini evropskega podnebja, ki kažejo,"
558,"Strokovnjaki za podnebne razmere pa so si bolj edini takrat, ko gre za težave pri raziskovanju podnebja; v en glas zatrjujejo, da gre za kaotične razmere.","podnebni znanstveniki pa so bolj edinstveni, ko gre za težave v podnebnih raziskavah; vsi pravijo, da je situacija kaotična.","Strokovnjaki za podnebne razmere so bolj enotni, ko gre za težave pri raziskovanju podnebja; v en"
559,"Atmosferski pojavi na Zemlji so tako kompleksni, da jih ni mogoče docela pojasniti, kaj šele, da bi jih zanesljivo napovedovali za nekaj let vnaprej.","Atmosferski pojavi na Zemlji so tako zapleteni, da jih ni mogoče povsem pojasniti, kaj šele napovedati leta vnaprej.","Atmosferski pojavi na Zemlji so tako kompleksni, da jih ni mogoče pojasniti, kaj"
560,"Visoke poletne temperature so se dvignile za 12 stopinj nad povprečje, ki je znašalo 29 stopinj.",Visoke poletne temperature so se dvignile za 12 stopinj nad povprečno 29 stopinj.,"Visoke poletne temperature so se dvignile za 12 stopinj nad povprečje, ki je znašalo 29"
561,"Zahod, kot kaže, ni tvegal spora s Hun Senom ali obsodbe njegovega pohlepa po oblasti","Videti je, da Zahod ni tvegal nobenega prepira s Hun Senom ali obsodbe njegovega pohlepa po oblasti.","Zahod, kot kaže, ni tvegal spora s Hun Senom ali obsodbo njegovega pohle"
562,Zato se ob sedanji Jelcinovi menjavi lahko pojavijo podobne težave kot ob sprejemanju Kirijenka za premiera.,Zato se lahko s sedanjo Jelcinovo spremembo pojavijo podobni problemi kot s sprejetjem Kirijenka za predsednika vlade.,Zato se ob sedanji zamenjavi Jelcina lahko pojavijo podobne težave kot ob sprejemanju Kirijenk
563,"Duma ga je takrat sprejela (od 450 poslank in poslancev mora zanj glasovati navadna večina) ob odkritih Jelcinovih grožnjah, da jo bo razpustil.","Duma ga je nato sprejela (od 450 poslancev je morala zanj glasovati navadna večina) ob odkritju Jelcinovih groženj, da ga bo razpustila.",Duma ga je takrat sprejela (od 450 poslank in poslancev mora za to glasovati navadna večin
564,"Duma je zdaj ponižana še bolj kot prej, saj mora nazaj sprejeti človeka (pa čeprav je Černomirdin zanjo morda dokaj znosna ponudba), ki ga je predsednik enkrat že zavrgel.","duma je zdaj še bolj ponižana kot prej, saj mora vzeti nazaj moškega (čeprav je Chernomirdin zanjo precej znosna ponudba), ki ga je predsednik enkrat že zavrgel.","Duma je zdaj ponižana še bolj kot prej, saj mora vrniti človeka (čeprav je"
565,Ob vseh gospodarskih problemih in veliki krizi Rusije se tako jasno kaže tudi politična kriza te velike države.,Z vsemi gospodarskimi problemi in veliko krizo v Rusiji se politična kriza te velike države jasno odraža.,Ob vseh gospodarskih problemih in veliki krizi Rusije se tako jasno kaže politična kriza te velike države.
566,Izvira iz ustavnega položaja predsednika.,to izhaja iz ustavnega položaja predsednika.,Izvira iz ustavnega položaja predsednika.
567,"Ta ima bistveno preveč pooblastil in potem se dogajajo take stvari, kot se, da lahko dobesedno z eno potezo peresa odstavlja in postavlja vlade, iz politične anonimnosti povzdigne obetavne mladeniče, jih v kratkem času zavrže in iz polpozabe spet potegne izkušene kadre.","To je veliko preveč pooblastil, in potem vrsta stvari, ki se zgodi, je, da lahko dobesedno odstraniti in namestiti vlade z enim samim potezo peresa, dvigniti obetavne mlade moške iz politične anonimnosti, jih zavreči v kratkem času, in potegnite izkušeno osebje iz polovice - spet pozabil.","Ta ima bistveno preveč pooblastil in potem se dogajajo takšne stvari, kot se, da lahko dobesedno z"
568,"Pri tem se ljudje samo nemočno sprašujejo, kdo mu šepeta na uho: mogočni oligarhi, nezadovoljni generali, tujina?","Pri tem se ljudje samo nemočno sprašujejo, kdo mu šepeta v uho: mogočni oligarhi, nezadovoljni generali, preostanek sveta?","Pri tem se ljudje samo nemočno sprašujejo, kdo mu govori na uho: mogočni oligar"
569,"Zdaj je Rusija še v slabšem položaju kot marca, ko je Jelcin odstavil sicer majavo vlado in sprožil še dodatno politično krizo.","Zdaj je Rusija v še slabšem položaju kot marca, ko je Jelcin odstavil sicer majavo vlado in sprožil dodatno politično krizo.","Zdaj je Rusija še v slabšem položaju kot marca, ko je Jelcin odstavil svojo"
570,"Černomirdinu bo verjetno preostalo samo reševanje sedanjega položaja in krpanje največjih lukenj, saj verjetno ne bo zmogel kakšnih radikalnih potez.","Chernomirdin bo verjetno ostal le še pri reševanju trenutne situacije in krpanju največjih lukenj, saj verjetno ne bo mogel narediti nobenih radikalnih potez.","Černomirdinu bo verjetno ostalo samo reševanje sedanjega položaja in krpanje največjih lukenj, saj"
571,Američani so z ladjo blokirali reško pristanišče,Američani so blokirali reško pristanišče,Američani so blokirali reško pristanišče
